Date,Kubernetes jobs,DevOps jobs,Platform engineer jobs,SRE jobs,Security engineer jobs
2014-01-01,0,23,3,0,1
2014-02-01,0,29,10,1,1
2014-03-01,0,27,7,5,1
2014-04-01,0,45,9,1,3
2014-05-01,0,45,7,5,2
2014-06-01,0,34,4,3,0
2014-07-01,0,57,4,4,9
2014-08-01,0,65,5,4,5
2014-09-01,1,28,3,1,5
2014-10-01,0,48,9,2,3
2014-11-01,0,27,6,3,4
2014-12-01,1,49,10,1,3
2015-01-01,1,26,5,3,3
2015-02-01,0,55,13,3,14
2015-03-01,0,59,11,2,7
2015-06-01,1,101,17,8,10
2015-07-01,4,149,13,11,19
2015-08-01,3,104,15,8,10
2015-09-01,2,90,17,5,4
2015-10-01,3,86,12,5,4
2015-11-01,5,90,14,8,10
2015-12-01,4,47,4,6,4
2016-01-01,3,47,9,5,9
2016-02-01,6,86,15,7,9
2016-03-01,13,83,12,4,5
2016-04-01,9,108,8,5,15
2016-05-01,16,125,9,9,14
2016-06-01,22,112,7,15,14
2016-07-01,12,114,6,13,13
2016-08-01,21,114,11,18,10
2016-09-01,18,96,8,17,11
2016-10-01,26,119,13,18,20
2016-11-01,34,136,10,21,16
2016-12-01,38,92,3,9,11
2017-01-01,29,91,10,8,15
2017-02-01,42,152,9,21,19
2017-03-01,33,135,6,21,15
2017-04-01,36,121,23,22,11
2017-05-01,40,113,11,22,17
2017-06-01,31,106,4,29,12
2017-07-01,45,108,8,21,9
2017-08-01,44,118,6,14,17
2017-09-01,58,115,8,20,32
2017-10-01,48,138,10,24,20
2017-11-01,55,143,9,32,17
2017-12-01,40,133,6,23,11
2018-01-01,28,93,3,14,7
2018-02-01,42,111,9,22,15
2018-03-01,60,157,22,29,24
2018-04-01,63,147,22,23,16
2018-05-01,84,172,27,29,28
2018-06-01,71,119,22,25,14
2018-07-01,80,115,14,22,23
2018-08-01,82,138,20,38,37
2018-09-01,70,120,12,26,20
2018-10-01,94,170,19,25,21
2018-11-01,94,164,19,32,15
2018-12-01,73,151,13,42,13
2019-01-01,81,124,13,39,23
2019-02-01,82,136,14,30,23
2019-03-01,82,158,17,32,10
2019-04-01,88,140,22,23,20
2019-05-01,78,159,31,20,32
2019-06-01,61,96,15,19,24
2019-07-01,69,117,12,21,29
2019-08-01,84,126,11,22,28
2019-09-01,76,146,14,30,23
2019-10-01,85,142,13,36,24
2019-11-01,60,127,10,29,27
2019-12-01,67,103,4,18,39
2020-01-01,83,110,10,35,32
2020-02-01,64,109,10,29,44
2020-03-01,122,187,8,60,59
2020-04-01,45,78,2,33,17
2020-05-01,34,70,10,19,17
2020-06-01,48,67,8,21,18
2020-07-01,40,84,5,34,30
2020-08-01,63,113,19,30,30
2020-09-01,69,114,13,28,25
2020-10-01,80,120,13,31,24
2020-11-01,65,108,12,27,29
2020-12-01,73,137,13,40,28
2021-01-01,79,139,16,38,26
2021-02-01,91,183,22,66,32
2021-03-01,81,143,16,56,40
2021-04-01,103,152,16,64,31
2021-05-01,88,131,26,69,27
2021-06-01,109,156,23,69,22
2021-07-01,97,157,26,71,45
2021-08-01,96,138,10,51,32
2021-09-01,86,150,12,49,35
2021-10-01,84,98,8,42,29
2021-11-01,99,131,16,52,41
2021-12-01,80,140,12,38,38
2022-01-01,63,119,6,37,27
2022-02-01,89,126,23,41,30
2022-03-01,91,123,24,45,39
2022-04-01,76,128,12,42,30
2022-05-01,108,139,16,44,24
2022-06-01,89,99,18,34,29
2022-07-01,62,78,7,23,17
2022-08-01,72,99,17,27,32
2022-09-01,60,67,9,39,24
2022-10-01,54,75,10,21,31
2022-11-01,58,74,17,20,37
2022-12-01,42,65,17,22,27
2023-01-01,29,53,15,8,21
2023-02-01,47,66,14,20,19
2023-03-01,38,65,14,17,23
2023-04-01,25,49,7,11,16
2023-05-01,28,57,7,15,18
2023-06-01,25,56,9,12,19
2023-07-01,23,42,11,7,21
2023-08-01,35,53,15,15,16
2023-09-01,21,31,14,16,15
2023-10-01,15,41,6,25,11
2023-11-01,24,30,18,5,15
2023-12-01,23,35,17,14,5
2024-01-01,22,27,14,11,8
2024-02-01,14,35,10,8,9
2024-03-01,35,33,9,16,7
2024-04-01,24,17,12,5,9
2024-05-01,27,33,19,16,7
2024-06-01,32,32,14,17,5
2024-07-01,33,46,12,9,14
2024-08-01,22,20,6,10,10
2024-09-01,18,28,10,10,7
2024-10-01,22,29,13,10,11
2024-11-01,23,27,12,16,8
2024-12-01,20,35,11,14,5
2025-01-01,20,32,11,13,5
2025-02-01,33,38,18,16,9
2025-03-01,26,33,16,19,8
2025-04-01,29,22,11,5,5
2025-05-01,30,24,14,9,9
2025-06-01,36,33,10,18,6
2025-07-01,38,40,20,12,12
2025-08-01,31,32,9,7,11
